Instance,Type,Name,Description,Tuning Policy
83,analogValue,SpaceTempErrAlmSp,Space Temperature Standard Deviation Alarm Setpoint,COV_Recieve_Broadcast
84,analogValue,AirFlowStdErr,Air Flow Standard Deviation,COV_Recieve_Broadcast
85,analogValue,AirFlowErrAlmSp,Air Flow Standard Deviation Alarm Setpoint,COV_Recieve_Broadcast
86,analogValue,DischTempStdErr,Discharge Temperature Standard Error ,COV_Recieve_Broadcast
87,analogValue,DischTempErrAlmSp,Discharge Temperature Standard Deviation,COV_Recieve_Broadcast
88,analogValue,SpaceTempPosErr,Space Temperatur Positive Accumulated Error,COV_Recieve_Broadcast
89,analogValue,SpaceTempNegErr,Space Temperature Negative Accumulated Error,COV_Recieve_Broadcast
90,analogValue,AirFlowPosErr,Air Flow Positive Accumulated Error,COV_Recieve_Broadcast
91,analogValue,AirFlowNegErr,Air Flow Negative Accumulated Error,COV_Recieve_Broadcast
92,analogValue,AirFlowAbsErr,Air Flow Absolute Accumulated Error,COV_Recieve_Broadcast
93,analogValue,DischTempPosErr,Discharge Temperatur Positive Accumulated Error,COV_Recieve_Broadcast
94,analogValue,DischTempNegErr,Discharge Temperatur Negative Accumulated Error,COV_Recieve_Broadcast
200,analogValue,ZoneImportance,Zone Importance Multiplier,COV_Recieve_Broadcast
201,analogValue,StaticPressReq,Static Pressure Setpoint Adjustement Requests,COV_Recieve_Broadcast
202,analogValue,HeatingReq,Heating Temperature Setpoint Adjustement Requests,COV_Recieve_Broadcast
203,analogValue,CoolingReq,Cooling Temperature Setpoint Adjustement Requests,COV_Recieve_Broadcast
